post_label,post_url,post_category,page,date,observation_time_cst,cumulative_views,daily_views,account_new_follows,source,source_file
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-12,2026-06-12 23:07,539,539,2,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-13,2026-06-13 21:07,639,100,0,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-14,2026-06-14 18:07,668,29,0,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-15,2026-06-15 18:07,696,28,5,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-16,2026-06-16 12:07,715,19,79,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-17,2026-06-17 12:07,745,30,48,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-18,2026-06-18 12:07,762,17,6,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-19,2026-06-19 00:07,766,4,1,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-20,2026-06-20 00:07,772,6,15,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-21,2026-06-21 00:07,774,2,2,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-22,2026-06-22 00:07,775,1,99,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-23,2026-06-23 00:07,783,8,63,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-24,2026-06-24 00:07,792,9,1,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-25,2026-06-25 00:07,798,6,5,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-26,2026-06-26 00:07,799,1,203,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-27,2026-06-27 00:07,800,1,58,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-28,2026-06-28 00:07,804,4,13,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-29,2026-06-29 00:07,804,0,9,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-06-30,2026-06-30 00:07,805,1,9,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-07-01,2026-07-01 00:07,805,0,29,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-07-02,2026-07-02 00:07,805,0,221,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Goal Fest Campaign Announcement,https://www.facebook.com/photo/?fbid=1417898357042045&set=a.633186275513261,Campaign announcement,Carlcare Service (GH),2026-07-03,2026-07-03 00:07,805,0,75,Meta Business Suite Object Insights Views chart,2026-07-09_Goal-Fest-Campaign-Announcement_Daily-Views.csv
Colombia vs Ghana Prediction,https://www.facebook.com/photo?fbid=1436269195204961&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-03,23:00,62654,62654,75,Meta Business Suite Object Insights Views chart,2026-07-09_Colombia-vs-Ghana-Prediction_Daily-Views.csv
Colombia vs Ghana Prediction,https://www.facebook.com/photo?fbid=1436269195204961&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-04,22:00,69834,7180,12,Meta Business Suite Object Insights Views chart,2026-07-09_Colombia-vs-Ghana-Prediction_Daily-Views.csv
Colombia vs Ghana Prediction,https://www.facebook.com/photo?fbid=1436269195204961&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-05,19:00,71831,1997,4,Meta Business Suite Object Insights Views chart,2026-07-09_Colombia-vs-Ghana-Prediction_Daily-Views.csv
Colombia vs Ghana Prediction,https://www.facebook.com/photo?fbid=1436269195204961&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-06,19:00,73238,1407,114,Meta Business Suite Object Insights Views chart,2026-07-09_Colombia-vs-Ghana-Prediction_Daily-Views.csv
Colombia vs Ghana Prediction,https://www.facebook.com/photo?fbid=1436269195204961&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-07,13:00,74056,818,5,Meta Business Suite Object Insights Views chart,2026-07-09_Colombia-vs-Ghana-Prediction_Daily-Views.csv
Colombia vs Ghana Prediction,https://www.facebook.com/photo?fbid=1436269195204961&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-08,13:00,74620,564,7,Meta Business Suite Object Insights Views chart,2026-07-09_Colombia-vs-Ghana-Prediction_Daily-Views.csv
Colombia vs Ghana Prediction,https://www.facebook.com/photo?fbid=1436269195204961&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-09,01:00,74848,228,0,Meta Business Suite Object Insights Views chart,2026-07-09_Colombia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-06-26,23:45,31032,31032,203,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-06-27,22:45,50336,19304,58,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-06-28,19:45,59863,9527,13,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-06-29,19:45,62393,2530,9,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-06-30,19:45,64009,1616,9,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-01,19:45,65044,1035,29,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-02,19:45,65653,609,221,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-03,19:45,66089,436,75,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-04,19:45,66466,377,12,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-05,19:45,66682,216,4,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-06,19:45,66834,152,114,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-07,19:45,66928,94,5,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
Croatia vs Ghana Prediction,https://www.facebook.com/photo/?fbid=1430640679101146&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-07-08,19:45,67044,116,7,Meta Business Suite Object Insights Views chart,2026-07-09_Croatia-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/photo?fbid=1427224446109436&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-06-22,2026-06-22 23:32,9417,9417,99,Meta Business Suite Object Insights Views chart,2026-07-09_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/photo?fbid=1427224446109436&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-06-23,2026-06-23 23:02,28358,18941,63,Meta Business Suite Object Insights Views chart,2026-07-09_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/photo?fbid=1427224446109436&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-06-24,2026-06-24 20:02,36411,8053,1,Meta Business Suite Object Insights Views chart,2026-07-09_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/photo?fbid=1427224446109436&set=a.633186275513261,Prediction campaign,Carlcare Service (GH),2026-06-25,2026-06-25 20:02,38034,1623,5,Meta Business Suite Object Insights Views chart,2026-07-09_England-vs-Ghana-Prediction_Daily-Views.csv
