post_label,post_url,post_category,page,date,observation_time_cst,cumulative_views,daily_views,account_new_follows,source,source_file
Egypt vs Australia Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0Hihw6woqWSHMR9owPsjBadjbQBw3jZDRvGCxxTw3Ngog3xmgMK8BGcFzPws89JV1l?rdid=NsHsXLqJGWFUOFys#,Prediction campaign,Carlcare Service (EG),2026-06-30,2026-06-30 23:45,3437,3437,153,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Australia-Prediction_Daily-Views.csv
Egypt vs Australia Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0Hihw6woqWSHMR9owPsjBadjbQBw3jZDRvGCxxTw3Ngog3xmgMK8BGcFzPws89JV1l?rdid=NsHsXLqJGWFUOFys#,Prediction campaign,Carlcare Service (EG),2026-07-01,2026-07-01 22:30,22975,19538,61,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Australia-Prediction_Daily-Views.csv
Egypt vs Australia Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0Hihw6woqWSHMR9owPsjBadjbQBw3jZDRvGCxxTw3Ngog3xmgMK8BGcFzPws89JV1l?rdid=NsHsXLqJGWFUOFys#,Prediction campaign,Carlcare Service (EG),2026-07-02,2026-07-02 22:30,28773,5798,31,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Australia-Prediction_Daily-Views.csv
Egypt vs Australia Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0Hihw6woqWSHMR9owPsjBadjbQBw3jZDRvGCxxTw3Ngog3xmgMK8BGcFzPws89JV1l?rdid=NsHsXLqJGWFUOFys#,Prediction campaign,Carlcare Service (EG),2026-07-03,2026-07-03 22:30,32835,4062,36,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Australia-Prediction_Daily-Views.csv
Egypt vs Australia Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0Hihw6woqWSHMR9owPsjBadjbQBw3jZDRvGCxxTw3Ngog3xmgMK8BGcFzPws89JV1l?rdid=NsHsXLqJGWFUOFys#,Prediction campaign,Carlcare Service (EG),2026-07-04,2026-07-04 22:30,36037,3202,10,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Australia-Prediction_Daily-Views.csv
Egypt vs Australia Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0Hihw6woqWSHMR9owPsjBadjbQBw3jZDRvGCxxTw3Ngog3xmgMK8BGcFzPws89JV1l?rdid=NsHsXLqJGWFUOFys#,Prediction campaign,Carlcare Service (EG),2026-07-05,2026-07-05 22:30,36896,859,17,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Australia-Prediction_Daily-Views.csv
Egypt vs Australia Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0Hihw6woqWSHMR9owPsjBadjbQBw3jZDRvGCxxTw3Ngog3xmgMK8BGcFzPws89JV1l?rdid=NsHsXLqJGWFUOFys#,Prediction campaign,Carlcare Service (EG),2026-07-06,2026-07-06 22:30,37411,515,371,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Australia-Prediction_Daily-Views.csv
Egypt vs Australia Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0Hihw6woqWSHMR9owPsjBadjbQBw3jZDRvGCxxTw3Ngog3xmgMK8BGcFzPws89JV1l?rdid=NsHsXLqJGWFUOFys#,Prediction campaign,Carlcare Service (EG),2026-07-07,2026-07-07 22:30,37806,395,363,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Australia-Prediction_Daily-Views.csv
Egypt vs Australia Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0Hihw6woqWSHMR9owPsjBadjbQBw3jZDRvGCxxTw3Ngog3xmgMK8BGcFzPws89JV1l?rdid=NsHsXLqJGWFUOFys#,Prediction campaign,Carlcare Service (EG),2026-07-08,2026-07-08 22:30,38033,227,20,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Australia-Prediction_Daily-Views.csv
Egypt vs Belgium Prediction,https://www.facebook.com/CarlcareServiceEgypt/posts/pfbid0gTr3s2pSetsTCPgjHA4rjvSR77tbDzCuUXyFwRWQMUhKLE2epGTkNUx6MEdvA8G1l?rdid=su25roObhWvajnMF#,Prediction campaign,Carlcare Service (EG),2026-06-13,2026-06-13 22:00,22932,22932,517,Meta Business Suite Object Insights Views chart,2026-07-09_EG_Egypt-vs-Belgium-Prediction_Daily-Views.csv
