post_label,post_url,post_category,page,date,observation_time_cst,cumulative_views,daily_views,account_new_follows,source,source_file
World Cup Challenge Campaign Announcement,https://www.facebook.com/photo/?fbid=1311376824507964&set=a.566493105663010,Campaign announcement,Carlcare Service NG (NG),2026-06-10,2026-06-10 23:57,12721,12721,124,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Challenge-Campaign-Announcement_Daily-Views.csv
World Cup Challenge Campaign Announcement,https://www.facebook.com/photo/?fbid=1311376824507964&set=a.566493105663010,Campaign announcement,Carlcare Service NG (NG),2026-06-11,2026-06-11 21:27,29693,16972,36,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Challenge-Campaign-Announcement_Daily-Views.csv
World Cup Challenge Campaign Announcement,https://www.facebook.com/photo/?fbid=1311376824507964&set=a.566493105663010,Campaign announcement,Carlcare Service NG (NG),2026-06-12,2026-06-12 18:27,32365,2672,63,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Challenge-Campaign-Announcement_Daily-Views.csv
World Cup Champion Jersey Prediction,https://www.facebook.com/photo?fbid=1313160000996313&set=pcb.1313171187661861,Prediction campaign,Carlcare Service NG (NG),2026-06-12,2026-06-12 23:37,1184,1184,63,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Champion-Jersey-Prediction_Daily-Views.csv
World Cup Challenge Campaign Announcement,https://www.facebook.com/photo/?fbid=1311376824507964&set=a.566493105663010,Campaign announcement,Carlcare Service NG (NG),2026-06-13,2026-06-13 18:27,33244,879,9,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Challenge-Campaign-Announcement_Daily-Views.csv
World Cup Champion Jersey Prediction,https://www.facebook.com/photo?fbid=1313160000996313&set=pcb.1313171187661861,Prediction campaign,Carlcare Service NG (NG),2026-06-13,2026-06-13 23:37,6202,5018,9,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Champion-Jersey-Prediction_Daily-Views.csv
World Cup Challenge Campaign Announcement,https://www.facebook.com/photo/?fbid=1311376824507964&set=a.566493105663010,Campaign announcement,Carlcare Service NG (NG),2026-06-14,2026-06-14 18:27,33603,359,9,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Challenge-Campaign-Announcement_Daily-Views.csv
World Cup Champion Jersey Prediction,https://www.facebook.com/photo?fbid=1313160000996313&set=pcb.1313171187661861,Prediction campaign,Carlcare Service NG (NG),2026-06-14,2026-06-14 20:37,6579,377,9,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Champion-Jersey-Prediction_Daily-Views.csv
Belgium vs Egypt Prediction,https://www.facebook.com/photo/?fbid=1315633207415659&set=a.566493105663010,Prediction campaign,Carlcare Service NG (NG),2026-06-15,2026-06-15 23:41,16030,16030,251,Meta Business Suite Object Insights Views chart,2026-07-09_NG_Belgium-vs-Egypt-Prediction_Daily-Views.csv
World Cup Challenge Campaign Announcement,https://www.facebook.com/photo/?fbid=1311376824507964&set=a.566493105663010,Campaign announcement,Carlcare Service NG (NG),2026-06-15,2026-06-15 18:27,33847,244,251,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Challenge-Campaign-Announcement_Daily-Views.csv
World Cup Champion Jersey Prediction,https://www.facebook.com/photo?fbid=1313160000996313&set=pcb.1313171187661861,Prediction campaign,Carlcare Service NG (NG),2026-06-15,2026-06-15 20:37,6831,252,251,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Champion-Jersey-Prediction_Daily-Views.csv
Belgium vs Egypt Prediction,https://www.facebook.com/photo/?fbid=1315633207415659&set=a.566493105663010,Prediction campaign,Carlcare Service NG (NG),2026-06-16,2026-06-16 22:41,49547,33517,126,Meta Business Suite Object Insights Views chart,2026-07-09_NG_Belgium-vs-Egypt-Prediction_Daily-Views.csv
World Cup Challenge Campaign Announcement,https://www.facebook.com/photo/?fbid=1311376824507964&set=a.566493105663010,Campaign announcement,Carlcare Service NG (NG),2026-06-16,2026-06-16 18:27,34081,234,126,Meta Business Suite Object Insights Views chart,2026-07-09_NG_World-Cup-Challenge-Campaign-Announcement_Daily-Views.csv
