post_label,post_url,post_category,page,date,observation_time_cst,cumulative_views,daily_views,account_new_follows,source,source_file
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-03,2026-07-03 23:48,17453,17453,595,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-04,2026-07-04 22:48,73998,56545,186,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-05,2026-07-05 19:48,82152,8154,4,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-06,2026-07-06 19:48,84339,2187,3,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-07,2026-07-07 19:48,85383,1044,1,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-08,2026-07-08 19:48,85924,541,5,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-09,2026-07-09 19:48,86226,302,113,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-10,2026-07-10 19:48,86496,270,18,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-11,2026-07-11 19:48,86674,178,129,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
Canada vs Morocco Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid024ZDgBp7fCsRTJpbVvDE8kknpXBPpQqn7VEw5RwaHQofhaUUoTvgqy2DKfZtpsMS2l,Prediction campaign,Carlcare Service (UG),2026-07-12,2026-07-12 19:48,86795,121,11,Meta Business Suite Object Insights Views chart,2026-07-13_UG_Canada-vs-Morocco-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-20,2026-06-20 23:36,28029,28029,207,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-21,2026-06-21 23:06,37091,9062,20,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-22,2026-06-22 20:06,40252,3161,37,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-23,2026-06-23 20:06,42081,1829,13,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-24,2026-06-24 14:06,42521,440,17,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-25,2026-06-25 14:06,42830,309,6,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-26,2026-06-26 14:06,43039,209,4,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-27,2026-06-27 14:06,43199,160,57,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-28,2026-06-28 14:06,43293,94,5,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-29,2026-06-29 14:06,43325,32,17,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-06-30,2026-06-30 14:06,43365,40,6,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-07-01,2026-07-01 14:06,43419,54,5,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-07-02,2026-07-02 14:06,43450,31,5,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-07-03,2026-07-03 14:06,43464,14,595,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-07-04,2026-07-04 14:06,43501,37,186,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-07-05,2026-07-05 14:06,43512,11,4,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-07-06,2026-07-06 14:06,43532,20,3,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-07-07,2026-07-07 14:06,43542,10,1,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
England vs Ghana Prediction,https://www.facebook.com/CarlcareServiceUG/posts/pfbid0Fn76DAzzHad7kxsep2qfvxySrkdwPyFZd1mHWVWbxUd3CpozAms5H1ZUmFRpRDC3l,Prediction campaign,Carlcare Service (UG),2026-07-08,2026-07-08 14:06,43552,10,5,Meta Business Suite Object Insights Views chart,2026-07-13_UG_England-vs-Ghana-Prediction_Daily-Views.csv
