post_label,post_url,post_category,page,date,observation_time_cst,cumulative_views,daily_views,account_new_follows,source,source_file
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-16,2026-06-16 23:30,488,488,62,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-17,2026-06-17 23:30,753,265,1,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-18,2026-06-18 23:30,869,116,4,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-19,2026-06-19 23:30,923,54,2,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-20,2026-06-20 17:30,938,15,7,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-21,2026-06-21 17:30,980,42,9,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-22,2026-06-22 17:30,1013,33,6,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-23,2026-06-23 17:30,1044,31,4,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-24,2026-06-24 17:30,1050,6,13,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
Algeria Fan Photo Challenge,https://www.facebook.com/photo?fbid=1322637199980032&set=a.583845910525835,Campaign announcement,Carlcare Service DZ (DZ),2026-06-25,2026-06-25 17:30,1064,14,19,Meta Business Suite Object Insights Views chart,2026-07-16_DZ_Algeria-Fan-Photo-Challenge_Daily-Views.csv
