post_label,post_url,post_category,page,date,observation_time_cst,cumulative_views,daily_views,account_new_follows,source,source_file
Belgium vs Spain Prediction,https://web.facebook.com/CarlcareServiceKE/posts/pfbid02cmUkSGCort7jRKfRr9xs5am1F5NvoSm9JL4tGxPf2BkNX31YzBfFHFL4PpRQV1e8l,Prediction campaign,Carlcare Service (KE),2026-07-08,2026-07-08 23:53,9398,9398,12,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Belgium-vs-Spain-Prediction_Daily-Views.csv
Belgium vs Spain Prediction,https://web.facebook.com/CarlcareServiceKE/posts/pfbid02cmUkSGCort7jRKfRr9xs5am1F5NvoSm9JL4tGxPf2BkNX31YzBfFHFL4PpRQV1e8l,Prediction campaign,Carlcare Service (KE),2026-07-09,2026-07-09 21:23,27424,18026,11,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Belgium-vs-Spain-Prediction_Daily-Views.csv
Belgium vs Spain Prediction,https://web.facebook.com/CarlcareServiceKE/posts/pfbid02cmUkSGCort7jRKfRr9xs5am1F5NvoSm9JL4tGxPf2BkNX31YzBfFHFL4PpRQV1e8l,Prediction campaign,Carlcare Service (KE),2026-07-10,2026-07-10 21:23,44280,16856,17,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Belgium-vs-Spain-Prediction_Daily-Views.csv
Belgium vs Spain Prediction,https://web.facebook.com/CarlcareServiceKE/posts/pfbid02cmUkSGCort7jRKfRr9xs5am1F5NvoSm9JL4tGxPf2BkNX31YzBfFHFL4PpRQV1e8l,Prediction campaign,Carlcare Service (KE),2026-07-11,2026-07-11 21:23,64645,20365,8,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Belgium-vs-Spain-Prediction_Daily-Views.csv
Belgium vs Spain Prediction,https://web.facebook.com/CarlcareServiceKE/posts/pfbid02cmUkSGCort7jRKfRr9xs5am1F5NvoSm9JL4tGxPf2BkNX31YzBfFHFL4PpRQV1e8l,Prediction campaign,Carlcare Service (KE),2026-07-12,2026-07-12 15:23,81186,16541,11,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Belgium-vs-Spain-Prediction_Daily-Views.csv
Belgium vs Spain Prediction,https://web.facebook.com/CarlcareServiceKE/posts/pfbid02cmUkSGCort7jRKfRr9xs5am1F5NvoSm9JL4tGxPf2BkNX31YzBfFHFL4PpRQV1e8l,Prediction campaign,Carlcare Service (KE),2026-07-13,2026-07-13 15:23,83980,2794,12,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Belgium-vs-Spain-Prediction_Daily-Views.csv
Belgium vs Spain Prediction,https://web.facebook.com/CarlcareServiceKE/posts/pfbid02cmUkSGCort7jRKfRr9xs5am1F5NvoSm9JL4tGxPf2BkNX31YzBfFHFL4PpRQV1e8l,Prediction campaign,Carlcare Service (KE),2026-07-14,2026-07-14 15:23,84011,31,6,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Belgium-vs-Spain-Prediction_Daily-Views.csv
Belgium vs Spain Prediction,https://web.facebook.com/CarlcareServiceKE/posts/pfbid02cmUkSGCort7jRKfRr9xs5am1F5NvoSm9JL4tGxPf2BkNX31YzBfFHFL4PpRQV1e8l,Prediction campaign,Carlcare Service (KE),2026-07-15,2026-07-15 15:23,84032,21,2063,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Belgium-vs-Spain-Prediction_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-06-29,2026-06-29 23:49,19520,19520,291,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-06-30,2026-06-30 23:49,31798,12278,62,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-01,2026-07-01 23:49,32895,1097,107,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-02,2026-07-02 23:49,33306,411,15,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-03,2026-07-03 17:49,33472,166,17,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-04,2026-07-04 17:49,33594,122,10,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-05,2026-07-05 17:49,33653,59,10,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-06,2026-07-06 17:49,33721,68,19,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-07,2026-07-07 17:49,33759,38,7,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-08,2026-07-08 17:49,33791,32,12,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-09,2026-07-09 17:49,33808,17,11,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
Kenya Score Prediction Giveaway,https://www.facebook.com/CarlcareServiceKE/posts/pfbid02M38ghb7U2XUMBfb6q1P2crA8G5m4VTyuino9octtnsGCryBrh9LwuA4bbeQeR5B4l,Prediction campaign,Carlcare Service (KE),2026-07-10,2026-07-10 17:49,33828,20,17,Meta Business Suite Object Insights Views chart,2026-07-16_KE_Kenya-Score-Prediction-Giveaway_Daily-Views.csv
