post_label,post_url,post_category,page,date,observation_time_cst,cumulative_views,daily_views,account_new_follows,source,source_file
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-15,2026-06-15 23:38,488,488,3,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-16,2026-06-16 22:38,803,315,6,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-17,2026-06-17 19:38,923,120,8,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-18,2026-06-18 19:38,974,51,179,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-19,2026-06-19 19:38,1045,71,96,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-20,2026-06-20 19:38,1073,28,4,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-21,2026-06-21 19:38,1093,20,2,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-22,2026-06-22 19:38,1110,17,1,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-23,2026-06-23 19:38,1136,26,154,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-24,2026-06-24 19:38,1167,31,89,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-25,2026-06-25 19:38,1173,6,8,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-26,2026-06-26 19:38,1178,5,8,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-27,2026-06-27 19:38,1181,3,12,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-28,2026-06-28 19:38,1186,5,7,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-29,2026-06-29 19:38,1189,3,45,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-06-30,2026-06-30 19:38,1191,2,10,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-07-01,2026-07-01 19:38,1205,14,3,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-07-02,2026-07-02 19:38,1207,2,97,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-07-03,2026-07-03 19:38,1212,5,32,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-07-04,2026-07-04 19:38,1213,1,28,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-07-05,2026-07-05 19:38,1214,1,3,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Fan Selfie Campaign Announcement - Jun 15,https://www.facebook.com/photo/?fbid=1029512696326790&set=a.263461102931957,Campaign announcement,Carlcare Service Morocco (MA),2026-07-06,2026-07-06 19:38,1219,5,0,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Fan-Selfie-Campaign-Announcement-Jun-15_Daily-Views.csv
Morocco Predict & Win Prediction - Jul 8,https://www.facebook.com/photo?fbid=1049079307703462&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-08,2026-07-08 23:43,1361,1361,11,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jul-8_Daily-Views.csv
Morocco Predict & Win Prediction - Jul 8,https://www.facebook.com/photo?fbid=1049079307703462&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-09,2026-07-09 23:43,2404,1043,6,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jul-8_Daily-Views.csv
Morocco Predict & Win Prediction - Jul 8,https://www.facebook.com/photo?fbid=1049079307703462&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-10,2026-07-10 23:43,2697,293,0,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jul-8_Daily-Views.csv
Morocco Predict & Win Prediction - Jul 8,https://www.facebook.com/photo?fbid=1049079307703462&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-11,2026-07-11 23:43,2747,50,1,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jul-8_Daily-Views.csv
Morocco Predict & Win Prediction - Jul 8,https://www.facebook.com/photo?fbid=1049079307703462&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-12,2026-07-12 17:43,2772,25,1,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jul-8_Daily-Views.csv
Morocco Predict & Win Prediction - Jul 8,https://www.facebook.com/photo?fbid=1049079307703462&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-13,2026-07-13 17:43,2796,24,3,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jul-8_Daily-Views.csv
Morocco Predict & Win Prediction - Jul 8,https://www.facebook.com/photo?fbid=1049079307703462&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-14,2026-07-14 17:43,2820,24,3,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jul-8_Daily-Views.csv
Morocco Predict & Win Prediction - Jul 8,https://www.facebook.com/photo?fbid=1049079307703462&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-15,2026-07-15 17:43,2826,6,1,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jul-8_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-12,2026-06-12 23:58,31,31,136,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-13,2026-06-13 22:43,49558,49527,73,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-14,2026-06-14 22:43,56251,6693,6,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-15,2026-06-15 22:43,57816,1565,3,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-16,2026-06-16 22:43,58422,606,6,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-17,2026-06-17 22:43,58768,346,8,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-18,2026-06-18 22:43,58992,224,179,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-19,2026-06-19 22:43,59137,145,96,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-20,2026-06-20 22:43,59208,71,4,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-21,2026-06-21 22:43,59240,32,2,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-22,2026-06-22 22:43,59266,26,1,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-23,2026-06-23 22:43,59302,36,154,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-24,2026-06-24 22:43,59329,27,89,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-25,2026-06-25 22:43,59336,7,8,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-26,2026-06-26 22:43,59340,4,8,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-27,2026-06-27 22:43,59351,11,12,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-28,2026-06-28 22:43,59362,11,7,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-29,2026-06-29 22:43,59371,9,45,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-30,2026-06-30 22:43,59384,13,10,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-01,2026-07-01 22:43,59391,7,3,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-02,2026-07-02 22:43,59397,6,97,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 12,https://www.facebook.com/photo?fbid=1027089256569134&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-07-03,2026-07-03 22:43,59403,6,32,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-12_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 18,https://www.facebook.com/photo?fbid=1032095862735140&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-18,2026-06-18 23:32,2694,2694,179,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-18_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 18,https://www.facebook.com/photo?fbid=1032095862735140&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-19,2026-06-19 21:02,36312,33618,96,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-18_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 18,https://www.facebook.com/photo?fbid=1032095862735140&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-20,2026-06-20 21:02,42912,6600,4,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-18_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 18,https://www.facebook.com/photo?fbid=1032095862735140&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-21,2026-06-21 21:02,44190,1278,2,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-18_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 18,https://www.facebook.com/photo?fbid=1032095862735140&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-22,2026-06-22 21:02,44831,641,1,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-18_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 18,https://www.facebook.com/photo?fbid=1032095862735140&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-23,2026-06-23 21:02,45217,386,154,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-18_Daily-Views.csv
Morocco Predict & Win Prediction - Jun 18,https://www.facebook.com/photo?fbid=1032095862735140&set=a.263461102931957,Prediction campaign,Carlcare Service Morocco (MA),2026-06-24,2026-06-24 21:02,45527,310,89,Meta Business Suite Object Insights Views chart,2026-07-16_MA_Morocco-Predict-Win-Prediction-Jun-18_Daily-Views.csv
